ID_URU,Nombre,Categoría,Grupo,Estado Verificación,Dirección
URU-01529,Plenamente Pilates Reformer,Pilates,deporte,Verificado (Google Places),"Bv. Dr. Luis F. Aráoz 477, Concepción del Uruguay, Entre Ríos"
URU-01530,Pausa Activa,Pilates/Gimnasio,deporte,Verificado (Google Places),"Uncal 160, Concepción del Uruguay, Entre Ríos"
URU-01531,Corpo Pilates,Pilates,deporte,Verificado (Google Places),"Millán 220, Concepción del Uruguay, Entre Ríos"
URU-01532,Lineal Estudio de Pilates,Pilates,deporte,Verificado (Google Places),"9 de Julio 1181, Concepción del Uruguay, Entre Ríos"
URU-01533,Espacio Aruna,Yoga,deporte,Verificado (Google Places),"C. Sampay 2826, Concepción del Uruguay, Entre Ríos"
URU-01534,Centro Dharma SatNam,Yoga,deporte,Verificado (Google Places),"Congreso de Tucumán 704, Concepción del Uruguay, Entre Ríos"
URU-01535,Sol de Acuario RedGFU,Yoga/Centro cultural,deporte,Verificado (Google Places),"Piedras 129, Concepción del Uruguay, Entre Ríos"
URU-01536,Sinergia Salud,Gimnasio/Yoga,deporte,Verificado (Google Places),"21 de Noviembre 184, Concepción del Uruguay, Entre Ríos"
URU-01537,Gabriela Sampó,Yoga terapéutico,deporte,Verificado (Google Places),"Rivadavia 461, Concepción del Uruguay, Entre Ríos"
URU-01538,Kwoonbox,Artes marciales/Gimnasio,deporte,Verificado (Google Places),"Rivadavia 312, Concepción del Uruguay, Entre Ríos"
URU-01539,La Tribu Team Dojo Serpiente,Artes marciales/Kickboxing,deporte,Verificado (Google Places),"Ereño 1322, Concepción del Uruguay, Entre Ríos"
URU-01540,Pa-Kua Recinto Concepción del Uruguay,Artes marciales/Yoga/Tai Chi,deporte,Verificado (Google Places),"Madre Teresa de Calcuta 537, Concepción del Uruguay, Entre Ríos"
URU-01541,Shikinaen Dojo,Karate/Kobudo,deporte,Verificado (Google Places),"Congreso de Tucumán 734, Concepción del Uruguay, Entre Ríos"
URU-01542,"Academia de TaeKwon-Do ITF ""Fabio Villalba""",Artes marciales/Taekwondo,deporte,Verificado (Google Places),"Oscar Smith 16-212, Concepción del Uruguay, Entre Ríos"
URU-01543,Escuela de Taekwondo ITF Cristian Poggio,Artes marciales/Taekwondo,deporte,Verificado (Google Places),"8 de Junio 1190, Concepción del Uruguay, Entre Ríos"
URU-01544,ITF - Taekwondo y Boxeo (Prof. David Segura),Artes marciales/Boxeo,deporte,Verificado (Google Places),"Bartolomé Mitre 875, Concepción del Uruguay, Entre Ríos"
URU-01545,Almeida Jiu Jitsu - Concepción del Uruguay,Artes marciales/Jiu Jitsu,deporte,Verificado (Google Places),"Piedras 129, Concepción del Uruguay, Entre Ríos"
URU-01546,Academia de Boxeo Amilcar Brusa,Boxeo,deporte,Verificado (Google Places),"Juan Domingo Perón 711, Concepción del Uruguay, Entre Ríos"
URU-01547,Olimpo Pádel,Pádel,deporte,Verificado (Google Places),"Ricardo y 17 de Octubre, Concepción del Uruguay, Entre Ríos"
URU-01548,Oeste Pádel,Pádel,deporte,Verificado (Google Places),"Cabo O. Labalta, Concepción del Uruguay, Entre Ríos"
URU-01549,Popi Pádel,Pádel,deporte,Verificado (Google Places),"Yrigoyen y Ameghino, Concepción del Uruguay, Entre Ríos"
URU-01550,Ibiza Pádel,Pádel,deporte,Verificado (Google Places),"Jordana 162, Concepción del Uruguay, Entre Ríos"
URU-01551,Locos X El Pádel,Pádel,deporte,Verificado (Google Places),"Tte. Primero Ibáñez 1099, Concepción del Uruguay, Entre Ríos"
URU-01552,Puerto Pádel,Pádel,deporte,Verificado (Google Places),"Rocamora 93, Concepción del Uruguay, Entre Ríos"
URU-01553,Miami Pádel,Pádel,deporte,Verificado (Google Places),"Pablo Lorentz 1348, Concepción del Uruguay, Entre Ríos"
URU-01554,Open Tenis Club,Tenis,deporte,Verificado (Google Places),"Pablo Lorentz, Concepción del Uruguay, Entre Ríos"
URU-01555,Tenis Costanera,Tenis,deporte,Verificado (Google Places),"Av. Costanera Paysandú 550, Concepción del Uruguay, Entre Ríos"
URU-01556,Soleil Tenis Club,Tenis,deporte,Verificado (Google Places),"Cdad. de Federal 649, Concepción del Uruguay, Entre Ríos"
URU-01557,Carreón Tenis,Tenis,deporte,Verificado (Google Places),"Bv. Ricardo Balbín 2049, Concepción del Uruguay, Entre Ríos"
URU-01558,Club Tomás de Rocamora,Club social y deportivo,deporte,Verificado (Google Places),"Blvd. Hipólito Yrigoyen 349, Concepción del Uruguay, Entre Ríos"
URU-01559,Club República de Italia,Club social y deportivo,deporte,Verificado (Google Places),"Concepción del Uruguay, Entre Ríos"
URU-01560,Olimpia,Complejo deportivo,deporte,Verificado (Google Places),"San Martín 1203-1249, Concepción del Uruguay, Entre Ríos"
URU-01561,Club Atlético Engranaje,Club deportivo,deporte,Verificado (Google Places),"Concepción del Uruguay, Entre Ríos"
URU-01562,Apolo Fútbol 5,Cancha de alquiler,deporte,Verificado (Google Places),"Sta. María de Oro 126, Concepción del Uruguay, Entre Ríos"
URU-01563,Club Parque Sur Baloncesto,Club de básquet,deporte,Verificado (Google Places),"Cochabamba 555, Concepción del Uruguay, Entre Ríos"
URU-01564,University Club of Concepción del Uruguay,Club deportivo,deporte,Verificado (Google Places),"Barrio Hipódromo S/N, Concepción del Uruguay, Entre Ríos"
URU-01565,Club Profesional J.J. de Urquiza,Club deportivo,deporte,Verificado (Google Places),"Concepción del Uruguay, Entre Ríos"
URU-01566,"Predio ""Arenas"" - CUCU Rugby",Rugby,deporte,Verificado (Google Places),"Concepción del Uruguay, Entre Ríos"
URU-01567,Sede de Club Gimnasia y Esgrima,Club deportivo,deporte,Verificado (Google Places),"21 de Noviembre 214, Concepción del Uruguay, Entre Ríos"
URU-01568,Estadio Manuel y Ramón Núñez - Club Gimnasia y Esgrima,Estadio/Club deportivo,deporte,Verificado (Google Places),"Perú 690, Concepción del Uruguay, Entre Ríos"
URU-01569,Club María Auxiliadora,Club deportivo,deporte,Verificado (Google Places),"Concepción del Uruguay, Entre Ríos"
URU-01570,Estadio Santísimo Bernabéu,Cancha de fútbol,deporte,Verificado (Google Places),"Concepción del Uruguay, Entre Ríos"
URU-01571,La Toska Polideportivo,Complejo deportivo,deporte,Verificado (Google Places),"Alberdi 3800, Concepción del Uruguay, Entre Ríos"
URU-01572,Colonia SCUBI,Colonia deportiva/Club,deporte,Verificado (Google Places),"Concepción del Uruguay, Entre Ríos"
URU-01573,Club House Cabaña,Club recreativo/deportivo,deporte,Verificado (Google Places),"Camino al Círculo Católico, Concepción del Uruguay, Entre Ríos"
URU-01574,Concepción del Uruguay Tiro Federal,Tiro deportivo,deporte,Verificado (Google Places),"J. J. Bruno, Concepción del Uruguay, Entre Ríos"
URU-01575,Hipódromo de Concepción del Uruguay,Hípica/Turf,deporte,Verificado (Google Places),"Concepción del Uruguay, Entre Ríos"
URU-01576,Club de Canotaje y Remo,Canotaje/Remo,deporte,Verificado (Google Places),"Av. Spiro, Concepción del Uruguay, Entre Ríos"
URU-01577,Yacht Club Entrerriano,Náutica/Club social,deporte,Verificado (Google Places),"Av. Costanera la Fraternidad, Concepción del Uruguay, Entre Ríos"
URU-01578,"Alquiler de Bicicletas y Kayak ""Río del Urú""",Turismo activo/Kayak-Ciclismo,deporte,Verificado (Google Places),"Concepción del Uruguay, Entre Ríos"
URU-01579,Liga de Fútbol de Concepción del Uruguay,Asociación deportiva,deporte,Verificado (Google Places),"Antártida Argentina 351, Concepción del Uruguay, Entre Ríos"
URU-01580,The Big-Bang Dance,Danza,deporte,Verificado (Google Places),"E3260ATA, Concepción del Uruguay, Entre Ríos"
URU-01581,Urban Dance,Danza urbana,deporte,Verificado (Google Places),"San Lorenzo 224, Concepción del Uruguay, Entre Ríos"
URU-01582,Estudio de Danzas Carina Caire - Catalina Breda,Danza,deporte,Verificado (Google Places),"Blvd. Dr. R. Uncal 160, Concepción del Uruguay, Entre Ríos"
URU-01583,Al Sharif Estudio de Danzas,Danza árabe,deporte,Verificado (Google Places),"Yrigoyen y Millán, Concepción del Uruguay, Entre Ríos"
URU-01584,Acro Zone,Telas aéreas/Circo deportivo,deporte,Verificado (Google Places),"Bartolomé Mitre 1174, Concepción del Uruguay, Entre Ríos"
URU-01585,Academia Nariman,Danza,deporte,Verificado (Google Places),"Sta. María de Oro 16, Concepción del Uruguay, Entre Ríos"
